,F1I1,F1I2,F1I3,F2I1,F2I2,F3I1,F3I2,F3I3,F3I4,F4I1,F4I2,F4I3,F4I4,F4I5,F5I1,F5I2,F5I3,F5I4,F5I5,F5I6,F5I7,F5I8,F5I9,F6I1,F6I2,F6I3,F6I4,F6I5,F6I6,F6I7,F7I1,F7I2,F8I1,F8I2,F9I1,F9I2,F9I3,F9I4,F9I5,F9I6,F10I1,F10I2
MHW,1.04,5.33,5.74,0.94,1.07,3.75,3.78,3.82,5.78,5.77,5.34,3.74,2.41,4.11,3.72,1.87,4.3,1.57,2.12,5.44,4.35,4.69,0.27,3.78,1.66,5.32,4.5,5.78,5.71,5.08,2.19,5.42,3.82,5.8,0.96,2.33,4.2,4.76,3.53,1.93,4.89,1.84
GTA-5,4.26,3.77,4.5,3.63,3.48,5.45,5.33,5.74,2.83,3.7,3.45,2.38,2.66,2.75,4.65,3.58,2.1,2.88,3.43,4.34,3.33,5.32,5.4,1.87,2.76,4.7,5.19,4.39,4.38,5.4,4.77,1.76,5.39,3.91,1.36,1.04,5.21,3.73,5.76,1,1.04,2.68
DOOM,0.21,3.32,1.51,0.22,1.2,1.75,0.91,5.72,1.88,4.65,3.64,3.08,2.64,4.98,1.5,0.9,5.79,3.77,3.64,5.23,3.76,2.2,3.67,5.78,5.73,5.72,5.7,5.7,4.91,4.94,4.69,2.31,5.72,5.21,2.47,1.49,1.58,0.93,2.21,0.82,2.34,0.2
Witcher 3,0.23,0.27,1.46,0.28,4.47,0.25,0.2,0.22,0.26,4.28,4.89,5.75,0.2,4.94,5.44,5.35,4.75,4.51,5.74,4.01,4.59,5.75,4.74,5.2,4.65,5.21,4.57,5.76,5.76,5.73,5.72,4.04,5.71,5.8,5,5.78,4.93,4.76,5.73,4.73,0.27,0.24
The Legend of Zelda,0.24,1.12,4.28,0.3,0.3,0.28,0.27,0.27,0.28,5.24,5.8,4.76,0.26,5.46,2.2,1.43,2.22,1.21,2.73,4.23,2.75,4.5,5.78,5.78,5.76,4.76,5.77,5.74,5.02,4.95,3.67,5.79,4.84,4.55,5.75,5.17,5.77,5.73,5.78,5.76,4.43,0.24
Classic WoW,0.89,2.57,1.89,4.44,1.83,5.77,4.66,4.17,5.77,2.88,4.77,4.5,5.4,3.53,4.49,4.13,3.32,2.36,4.4,4.05,4.04,3.71,4.61,2.97,4.33,5.33,5.42,3.26,3.17,3.47,4.02,4.4,4.93,5.76,4.92,4.85,5.76,5.8,5.7,5.77,5.75,5.78
Octopath,4.24,3.62,5.78,0.24,1.54,0.26,0.24,0.2,0.29,1.76,4.07,3.94,0.26,5.74,1.52,5.73,5.73,5.73,5.34,5.08,4.67,5.74,5.75,5.76,5.72,5.74,5.79,5.5,5.8,5.79,5.77,5.79,5.77,5.7,4.55,5.15,2.3,0.82,0.93,4,0.29,0.2
PUBG,3.24,4.68,3.38,5.75,5.74,5.72,3.82,0.29,5.76,0.2,4.23,2.09,5.77,1.49,0.2,0.23,2.16,1.82,0.21,1.78,2.71,0.26,0.25,5.7,3.24,4.61,5.72,3.98,3.39,3.63,0.26,1.21,2.79,5.73,5.49,4.75,5.75,4.72,5.7,4.67,5.77,4.52
Fate Grand Order,5.76,5.77,5.5,0.24,0.25,2.87,1.19,4.43,2.17,1.98,3.94,0.3,1.56,3.14,5.01,3.52,5.49,4.68,4.87,4.42,2.97,3.53,4.29,3.1,2.75,3.47,3.16,2.4,2.98,2.69,3.84,5.37,4.85,1.64,1.1,0.29,1.31,1.44,1.68,2.96,1.6,0.29
LOL,2.92,1.85,3.88,3.89,5.78,5.79,4.82,1,5.78,1.92,5.43,5.74,5.71,4.23,1.03,1.15,4.5,2.98,0.25,2.27,2.72,0.2,0.2,4.89,4.16,2.7,2.63,4.79,4.81,4.93,1.72,2.26,4.23,5.79,3.31,3.41,3.33,2.56,1.97,2.09,5.72,0.29
