,ID,PNs,SNs,BNs,Ens,CNs,Ans,SPNs,SCNs,SMNs,TNs
1,MHW,0.67,0.17,0.71,0.71,0.52,0.76,0.63,0.8,0.49,0.56
2,GTA-5,0.7,0.59,0.81,0.5,0.65,0.68,0.54,0.78,0.5,0.31
3,DOOM,0.28,0.12,0.43,0.63,0.56,0.92,0.58,0.91,0.26,0.21
4,Witcher 3,0.11,0.4,0.04,0.67,0.83,0.88,0.81,0.96,0.86,0.04
5,Zelda,0.31,0.05,0.05,0.72,0.5,0.9,0.79,0.78,0.94,0.39
6,WoW,0.3,0.52,0.85,0.7,0.65,0.67,0.7,0.89,0.91,0.96
7,Octopath,0.76,0.15,0.04,0.53,0.84,0.95,0.96,0.96,0.49,0.04
8,PUBG,0.63,0.96,0.65,0.46,0.18,0.72,0.12,0.71,0.86,0.86
9,FGO,0.95,0.04,0.44,0.36,0.72,0.49,0.77,0.54,0.24,0.16
10,LOL,0.48,0.81,0.72,0.77,0.28,0.69,0.33,0.84,0.46,0.5
11,Pokemon ss,0.43,0.64,0.48,0.69,0.79,0.79,0.6,0.45,0.6,0.76
12,The Sim 4,0.58,0.04,0.24,0.57,0.55,0.78,0.59,0.69,0.76,0.04
13,Animal C,0.77,0.1,0.75,0.61,0.67,0.79,0.8,0.72,0.78,0.56
14,Coot,0.54,0.04,0.25,0.44,0.73,0.72,0.8,0.65,0.65,0.05
15,NBA 2K20,0.35,0.54,0.48,0.47,0.2,0.62,0.35,0.13,0.28,0.04
16,Mario Tennis,0.34,0.45,0.67,0.46,0.61,0.72,0.37,0.48,0.49,0.15
17,Mario & Sonic,0.08,0.14,0.83,0.41,0.76,0.7,0.38,0.48,0.34,0.29
18,TnT,0.11,0.12,0.33,0.37,0.51,0.63,0.34,0.09,0.1,0.04
19,Just Dance,0.39,0.04,0.61,0.72,0.42,0.73,0.09,0.19,0.21,0.13
20,Mario Party,0.19,0.04,0.83,0.48,0.82,0.87,0.78,0.7,0.61,0.47
21,Mario Kart 8,0.16,0.5,0.8,0.6,0.53,0.78,0.61,0.53,0.48,0.25
22,Real Racing 3,0.89,0.04,0.36,0.48,0.75,0.51,0.72,0.44,0.31,0.25
23,Hearthstone,0.73,0.9,0.55,0.48,0.53,0.56,0.59,0.59,0.4,0.42
24, PTCGO,0.77,0.85,0.47,0.39,0.32,0.26,0.4,0.35,0.41,0.34
25, Yu-Gi-Oh!,0.54,0.8,0.39,0.3,0.41,0.55,0.69,0.73,0.53,0.23
26,Brawl Stars,0.77,0.78,0.56,0.54,0.52,0.46,0.52,0.71,0.36,0.34
27,Clash Royale,0.81,0.77,0.49,0.51,0.42,0.51,0.73,0.95,0.28,0.87
28,Pokémon Go,0.74,0.27,0.36,0.47,0.51,0.28,0.34,0.45,0.61,0.37
